date	place	Krippe (versorgt)	Krippe (unversorgt)	Kindergarten (versorgt)	Kindergarten (unversorgt)	Krippe VQ	Kindergarten VQ
01.10.2024	Lindenhof					33.9	76.7
01.10.2024	Mannheim					36.5	84.1
01.07.2024	Lindenhof						
01.07.2024	Mannheim						
01.04.2024	Lindenhof						
01.04.2024	Mannheim						
01.01.2024	Lindenhof						
01.01.2024	Mannheim						
01.10.2023	Lindenhof						
01.10.2023	Mannheim						
01.07.2023	Lindenhof					35.5	76.9
01.07.2023	Mannheim					34.2	85.0
01.04.2023	Lindenhof					35.9	76.9
01.04.2023	Mannheim					34.2	84.9
01.01.2023	Lindenhof					35.9	76.9
01.01.2023	Mannheim					34.1	84.7
01.10.2022	Lindenhof					36.7	76.5
01.10.2022	Mannheim					34	84.2
01.07.2022	Lindenhof					37.6	76.5
01.07.2022	Mannheim					34	85.1
01.04.2022	Lindenhof					39.6	76.5
01.04.2022	Mannheim					33.5	84.8
01.01.2022	Lindenhof					36.5	76.5
01.01.2022	Mannheim					33.6	84.5
01.10.2021	Lindenhof	28	43	98	46	39	56.5
01.10.2021	Mannheim	621	513	1169	993	33.8	83.6
01.07.2021	Lindenhof	29	69	48	74	38.4	56.5
01.07.2021	Mannheim	672	716	1360	1275	33.3	83.5
01.04.2021	Lindenhof	17	55	25	44	38.1	56.5
01.04.2021	Mannheim	373	513	858	790	33.3	83.1
01.01.2021	Lindenhof	8	50	26	52	37.7	56.5
01.01.2021	Mannheim	251	623	463	1185	33.2	83.2
01.10.2020	Lindenhof	22	52	58	35	36.1	56.8
01.10.2020	Mannheim	551	667	1275	1192	33.5	83
01.07.2020	Lindenhof	24	62	63	38	35.7	61.7
01.07.2020	Mannheim	500	708	1284	1075	34.8	83.5
01.04.2020	Lindenhof	19	46	66	43	35.8	61.7
01.04.2020	Mannheim	431	497	994	783	33.6	83.2
01.01.2020	Lindenhof	13	37	17	46	36.3	56.8
01.01.2020	Mannheim	304	495	512	983	33.1	82.9
01.10.2019	Lindenhof	11	44	28	28	34.7	56.8
01.10.2019	Mannheim	306	443	1399	1010	32.8	82.9
01.07.2019	Lindenhof	18	55	49	37	39.1	68.2
01.07.2019	Mannheim	636	554	1526	934	35	90.3
01.04.2019	Lindenhof	11	44	28	28	37.9	68.2
01.04.2019	Mannheim	306	443	893	642	35.4	90.3
01.01.2019	Lindenhof	14	39	24	32	37.6	68.2
01.01.2019	Mannheim	306	443	557	814	35	89.8
01.10.2018	Lindenhof	25	40	48	43	38.4	68.2
01.10.2018	Mannheim	584	555	1355	941		
01.07.2018	Lindenhof						
01.07.2018	Mannheim						
01.04.2018	Lindenhof	18	20	37	26	40.4	68.2
01.04.2018	Mannheim	408	304	900	468		
01.01.2018	Lindenhof	12	23	16	39	40.7	68.2
01.01.2018	Mannheim	325	294	515	648	34.6	89.8
01.10.2017	Lindenhof	19	32	50	30	39.1	68.2
01.10.2017	Mannheim	602	396	1379	727	34.2	89.8
01.07.2017	Lindenhof	28	25	60	22	39.9	68.5
01.07.2017	Mannheim	629	333	1546	523	34.1	89.6
01.04.2017	Lindenhof	6	32	16	44	39.4	68.5
01.04.2017	Mannheim	292	346	454	894	34.4	89.2
01.01.2017	Lindenhof	13	34	19	40	45	75.1
01.01.2017	Mannheim	309	339	549	740	35	95
01.10.2016	Lindenhof	13	37	45	38	45.3	75.1
01.10.2016	Mannheim	474	353	1321	721	35.6	95.8
01.07.2016	Lindenhof	10	29	34	23	43	79.6
01.07.2016	Mannheim	456	295	1117	517	35.7	95.4
01.04.2016	Lindenhof	4	26	7	32	44.7	79.6
01.04.2016	Mannheim	294	342	365	898	36.1	95.1
01.01.2016	Lindenhof	9	23	11	26	43	79.6
01.01.2016	Mannheim	240	340	452	718	35.4	94.9
01.10.2015	Lindenhof	20	23	36	40	47.6	79.6
01.10.2015	Mannheim	495	260	1177	515	35.7	95.2
01.07.2015	Lindenhof	23	20	52	43	43.9	79.6
01.07.2015	Mannheim	476	270	1224	668	35.2	95.9
01.04.2015	Lindenhof	12	34	11	48	43	79.6
01.04.2015	Mannheim	262	397	537	827	35.2	95.9
01.01.2015	Lindenhof	30	34	25	52	37.9	79.6
01.01.2015	Mannheim	435	480	844	1052	34.3	96.1
